nameFirst,nameLast,tname
Cap,Anson,Chicago Colts
Silver,Flint,Chicago Colts
Frank,Chance,Chicago Colts
Johnny,Evers,Chicago Colts
Bill,Killefer,Chicago Colts
Roger,Bresnahan,Chicago Colts
Joe,Tinker,Chicago Colts
Rabbit,Maranville,Chicago Colts
Phil,Cavarretta,Chicago Colts
Charlie,Grimm,Chicago Colts
El,Tappe,Chicago Colts
Rogers,Hornsby,Chicago Colts
Gabby,Hartnett,Chicago Colts
Silver,Flint,Chicago Cubs
Al,Spalding,Chicago Cubs
Bob,Ferguson,Chicago Cubs
Cap,Anson,Chicago Cubs
Frank,Chance,Chicago Cubs
Johnny,Evers,Chicago Cubs
Bill,Killefer,Chicago Cubs
Roger,Bresnahan,Chicago Cubs
Joe,Tinker,Chicago Cubs
Rabbit,Maranville,Chicago Cubs
Gabby,Hartnett,Chicago Cubs
Phil,Cavarretta,Chicago Cubs
Charlie,Grimm,Chicago Cubs
El,Tappe,Chicago Cubs
Rogers,Hornsby,Chicago Cubs
Al,Spalding,Chicago Orphans
Bob,Ferguson,Chicago Orphans
Cap,Anson,Chicago Orphans
Silver,Flint,Chicago Orphans
Frank,Chance,Chicago Orphans
Johnny,Evers,Chicago Orphans
Bill,Killefer,Chicago Orphans
Roger,Bresnahan,Chicago Orphans
Joe,Tinker,Chicago Orphans
Rabbit,Maranville,Chicago Orphans
Phil,Cavarretta,Chicago Orphans
Charlie,Grimm,Chicago Orphans
El,Tappe,Chicago Orphans
Rogers,Hornsby,Chicago Orphans
Gabby,Hartnett,Chicago Orphans
Charlie,Comiskey,Chicago Pirates
Joe,Tinker,Chicago Whales
Jimmy,Callahan,Chicago White Sox
Fielder,Jones,Chicago White Sox
Clark,Griffith,Chicago White Sox
Billy,Sullivan,Chicago White Sox
Ray,Schalk,Chicago White Sox
Eddie,Collins,Chicago White Sox
Lena,Blackburne,Chicago White Sox
Don,Kessinger,Chicago White Sox
Lew,Fonseca,Chicago White Sox
Jimmy,Dykes,Chicago White Sox
Ted,Lyons,Chicago White Sox
Al,Spalding,Chicago White Stockings
Fergy,Malone,Chicago White Stockings
Jimmy,Wood,Chicago White Stockings
Bob,Ferguson,Chicago White Stockings
Cap,Anson,Chicago White Stockings
Silver,Flint,Chicago White Stockings
Frank,Chance,Chicago White Stockings
Johnny,Evers,Chicago White Stockings
Bill,Killefer,Chicago White Stockings
Roger,Bresnahan,Chicago White Stockings
Joe,Tinker,Chicago White Stockings
Rabbit,Maranville,Chicago White Stockings
Phil,Cavarretta,Chicago White Stockings
Charlie,Grimm,Chicago White Stockings
El,Tappe,Chicago White Stockings
Rogers,Hornsby,Chicago White Stockings
Gabby,Hartnett,Chicago White Stockings
Joe,Battin,Chicago/Pittsburgh (Union League)
Joe,Ellick,Chicago/Pittsburgh (Union League)
King,Kelly,Cincinnati Kelly's Killers
Dan,O'Leary,Cincinnati Outlaw Reds
Sam,Crane,Cincinnati Outlaw Reds
Will,White,Cincinnati Red Stockings
Pop,Snyder,Cincinnati Red Stockings
Charlie,Comiskey,Cincinnati Redlegs
Joe,Kelley,Cincinnati Redlegs
Bob,Allen,Cincinnati Redlegs
Buck,Ewing,Cincinnati Redlegs
Clark,Griffith,Cincinnati Redlegs
John,Ganzel,Cincinnati Redlegs
Joe,Tinker,Cincinnati Redlegs
Ivey,Wingo,Cincinnati Redlegs
Christy,Mathewson,Cincinnati Redlegs
Heinie,Groh,Cincinnati Redlegs
Buck,Herzog,Cincinnati Redlegs
Pete,Rose,Cincinnati Redlegs
Bob,O'Farrell,Cincinnati Redlegs
Bucky,Walters,Cincinnati Redlegs
Deacon,White,Cincinnati Reds
Charlie,Gould,Cincinnati Reds
John,Clapp,Cincinnati Reds
Lip,Pike,Cincinnati Reds
Bob,Addy,Cincinnati Reds
Jack,Manning,Cincinnati Reds
Charlie,Comiskey,Cincinnati Reds
Cal,McVey,Cincinnati Reds
Joe,Kelley,Cincinnati Reds
Bob,Allen,Cincinnati Reds
Buck,Ewing,Cincinnati Reds
Clark,Griffith,Cincinnati Reds
John,Ganzel,Cincinnati Reds
Joe,Tinker,Cincinnati Reds
Ivey,Wingo,Cincinnati Reds
Christy,Mathewson,Cincinnati Reds
Heinie,Groh,Cincinnati Reds
Buck,Herzog,Cincinnati Reds
Pete,Rose,Cincinnati Reds
Bob,O'Farrell,Cincinnati Reds
Bucky,Walters,Cincinnati Reds
Jim,McCormick,Cleveland Blues
Fred,Dunlap,Cleveland Blues
Mike,McGeary,Cleveland Blues
John,Clapp,Cleveland Blues
Jimmy,McAleer,Cleveland Blues
Bill,Bradley,Cleveland Blues
George,Stovall,Cleveland Blues
Harry,Davis,Cleveland Blues
Deacon,McGuire,Cleveland Blues
Joe,Birmingham,Cleveland Blues
Nap,Lajoie,Cleveland Blues
Tris,Speaker,Cleveland Blues
Lou,Boudreau,Cleveland Blues
Frank,Robinson,Cleveland Blues
Jimmy,McAleer,Cleveland Bronchos
Bill,Bradley,Cleveland Bronchos
George,Stovall,Cleveland Bronchos
Harry,Davis,Cleveland Bronchos
Deacon,McGuire,Cleveland Bronchos
Joe,Birmingham,Cleveland Bronchos
Nap,Lajoie,Cleveland Bronchos
Tris,Speaker,Cleveland Bronchos
Lou,Boudreau,Cleveland Bronchos
Frank,Robinson,Cleveland Bronchos
Charlie,Pabor,Cleveland Forest Citys
Scott,Hastings,Cleveland Forest Citys
Deacon,White,Cleveland Forest Citys
Jimmy,McAleer,Cleveland Indians
Nap,Lajoie,Cleveland Indians
Bill,Bradley,Cleveland Indians
George,Stovall,Cleveland Indians
Harry,Davis,Cleveland Indians
Deacon,McGuire,Cleveland Indians
Joe,Birmingham,Cleveland Indians
Tris,Speaker,Cleveland Indians
Lou,Boudreau,Cleveland Indians
Frank,Robinson,Cleveland Indians
Henry,Larkin,Cleveland Infants
Patsy,Tebeau,Cleveland Infants
Jimmy,McAleer,Cleveland Naps
Nap,Lajoie,Cleveland Naps
Bill,Bradley,Cleveland Naps
George,Stovall,Cleveland Naps
Harry,Davis,Cleveland Naps
Deacon,McGuire,Cleveland Naps
Joe,Birmingham,Cleveland Naps
Tris,Speaker,Cleveland Naps
Lou,Boudreau,Cleveland Naps
Frank,Robinson,Cleveland Naps
Patsy,Tebeau,Cleveland Spiders
Lave,Cross,Cleveland Spiders
Joe,Quinn,Cleveland Spiders
Bobby,Lowe,Detroit Tigers
Hughie,Jennings,Detroit Tigers
Ty,Cobb,Detroit Tigers
Fred,Hutchinson,Detroit Tigers
Mickey,Cochrane,Detroit Tigers
Bucky,Harris,Detroit Tigers
Charlie,Morton,Detroit Wolverines
Bill,Lennon,Fort Wayne Kekiongas
Harry,Deane,Fort Wayne Kekiongas
Lip,Pike,Hartford Dark Blues
Bob,Ferguson,Hartford Dark Blues
John,Clapp,Indianapolis Blues
Bill,Watkins,Indianapolis Hoosiers
Jack,Glasscock,Indianapolis Hoosiers
Hank,Bauer,Kansas City Athletics
Ted,Sullivan,Kansas City Cowboys
Dave,Rowe,Kansas City Cowboys
Sam,Barkley,Kansas City Cowboys
Harry,Wheeler,Kansas City Cowboys
Matthew,Porter,Kansas City Cowboys
George,Stovall,Kansas City Packers
Joe,Simmons,Keokuk Westerns
John,Kerins,Louisville Colonels
Dude,Esterbrook,Louisville Colonels
Fred,Pfeffer,Louisville Colonels
Chicken,Wolf,Louisville Colonels
Denny,Mack,Louisville Colonels
Dan,Shannon,Louisville Colonels
Joe,Gerhardt,Louisville Colonels
Jim,Rogers,Louisville Colonels
Fred,Clarke,Louisville Colonels
John,Kerins,Louisville Eclipse
Dude,Esterbrook,Louisville Eclipse
Chicken,Wolf,Louisville Eclipse
Denny,Mack,Louisville Eclipse
Dan,Shannon,Louisville Eclipse
Joe,Gerhardt,Louisville Eclipse
Jack,Chapman,Louisville Grays
John,Clapp,Middletown Mansfields
Hugh,Duffy,Milwaukee Brewers
Charlie,Gould,New Haven Elm Citys
Jumbo,Latham,New Haven Elm Citys
Charlie,Pabor,New Haven Elm Citys
Buck,Ewing,New York Giants
John,Clapp,New York Giants
John,Ward,New York Giants
Jack,Doyle,New York Giants
Bill,Joyce,New York Giants
Heinie,Smith,New York Giants
John,McGraw,New York Giants
George,Davis,New York Giants
Rogers,Hornsby,New York Giants
Bill,Terry,New York Giants
Mel,Ott,New York Giants
John,Clapp,New York Gothams
John,Ward,New York Gothams
Bill,Joyce,New York Gothams
Heinie,Smith,New York Gothams
John,McGraw,New York Gothams
George,Davis,New York Gothams
Jack,Doyle,New York Gothams
Rogers,Hornsby,New York Gothams
Bill,Terry,New York Gothams
Mel,Ott,New York Gothams
Clark,Griffith,New York Highlanders
Kid,Elberfeld,New York Highlanders
Hal,Chase,New York Highlanders
Harry,Wolverton,New York Highlanders
Bill,Donovan,New York Highlanders
Frank,Chance,New York Highlanders
Roger,Peckinpaugh,New York Highlanders
Bill,Dickey,New York Highlanders
Dave,Orr,New York Metropolitans
Joe,Torre,New York Mets
Joe,Start,New York Mutuals
Tom,Carey,New York Mutuals
Dick,Higham,New York Mutuals
Bob,Ferguson,New York Mutuals
Nat,Hicks,New York Mutuals
Dickey,Pearce,New York Mutuals
John,Hatfield,New York Mutuals
Clark,Griffith,New York Yankees
Kid,Elberfeld,New York Yankees
Hal,Chase,New York Yankees
Bill,Donovan,New York Yankees
Frank,Chance,New York Yankees
Roger,Peckinpaugh,New York Yankees
Harry,Wolverton,New York Yankees
Bill,Dickey,New York Yankees
Bill,McKechnie,Newark Pepper
Jim,Fogarty,Philadelphia Athletics
Charlie,Buffinton,Philadelphia Athletics
Harry,Stovey,Philadelphia Athletics
George,Wood,Philadelphia Athletics
Dick,McBride,Philadelphia Athletics
Cap,Anson,Philadelphia Athletics
Jumbo,Latham,Philadelphia Athletics
Lon,Knight,Philadelphia Athletics
Eddie,Joost,Philadelphia Athletics
Bob,Ferguson,Philadelphia Blue Jays
Blondie,Purcell,Philadelphia Blue Jays
Jack,Clements,Philadelphia Blue Jays
Bob,Allen,Philadelphia Blue Jays
Billy,Nash,Philadelphia Blue Jays
Chief,Zimmer,Philadelphia Blue Jays
Arthur,Irwin,Philadelphia Blue Jays
George,Stallings,Philadelphia Blue Jays
Red,Dooin,Philadelphia Blue Jays
Hugh,Duffy,Philadelphia Blue Jays
Gavvy,Cravath,Philadelphia Blue Jays
Stuffy,McInnis,Philadelphia Blue Jays
Kaiser,Wilhelm,Philadelphia Blue Jays
Ben,Chapman,Philadelphia Blue Jays
Jimmie,Wilson,Philadelphia Blue Jays
Bill,Craver,Philadelphia Centennials
Fergy,Malone,Philadelphia Keystones
Bob,Ferguson,Philadelphia Phillies
Blondie,Purcell,Philadelphia Phillies
Jack,Clements,Philadelphia Phillies
Bob,Allen,Philadelphia Phillies
Billy,Nash,Philadelphia Phillies
Chief,Zimmer,Philadelphia Phillies
Arthur,Irwin,Philadelphia Phillies
George,Stallings,Philadelphia Phillies
Red,Dooin,Philadelphia Phillies
Hugh,Duffy,Philadelphia Phillies
Gavvy,Cravath,Philadelphia Phillies
Stuffy,McInnis,Philadelphia Phillies
Kaiser,Wilhelm,Philadelphia Phillies
Ben,Chapman,Philadelphia Phillies
Jimmie,Wilson,Philadelphia Phillies
Bob,Ferguson,Philadelphia Quakers
Blondie,Purcell,Philadelphia Quakers
Jack,Clements,Philadelphia Quakers
Bob,Allen,Philadelphia Quakers
Billy,Nash,Philadelphia Quakers
Chief,Zimmer,Philadelphia Quakers
Arthur,Irwin,Philadelphia Quakers
George,Stallings,Philadelphia Quakers
Red,Dooin,Philadelphia Quakers
Hugh,Duffy,Philadelphia Quakers
Gavvy,Cravath,Philadelphia Quakers
Stuffy,McInnis,Philadelphia Quakers
Kaiser,Wilhelm,Philadelphia Quakers
Ben,Chapman,Philadelphia Quakers
Jimmie,Wilson,Philadelphia Quakers
Fergy,Malone,Philadelphia Whites
Jimmy,Wood,Philadelphia Whites
Bill,Craver,Philadelphia Whites
Mike,McGeary,Philadelphia Whites
Bob,Addy,Philadelphia Whites
Bob,Ferguson,Pittsburg Alleghenys
George,Creamer,Pittsburg Alleghenys
Guy,Hecker,Pittsburg Alleghenys
Fred,Dunlap,Pittsburg Alleghenys
Joe,Battin,Pittsburg Alleghenys
Ned,Hanlon,Pittsburg Alleghenys
Fred,Clarke,Pittsburg Alleghenys
Tom,Burns,Pittsburg Alleghenys
Connie,Mack,Pittsburg Alleghenys
Patsy,Donovan,Pittsburg Alleghenys
Honus,Wagner,Pittsburg Alleghenys
Billy,Herman,Pittsburg Alleghenys
Pie,Traynor,Pittsburg Alleghenys
Ned,Hanlon,Pittsburgh Burghers
Ned,Hanlon,Pittsburgh Pirates
Guy,Hecker,Pittsburgh Pirates
Fred,Dunlap,Pittsburgh Pirates
Fred,Clarke,Pittsburgh Pirates
Tom,Burns,Pittsburgh Pirates
Connie,Mack,Pittsburgh Pirates
Patsy,Donovan,Pittsburgh Pirates
Honus,Wagner,Pittsburgh Pirates
Billy,Herman,Pittsburgh Pirates
Pie,Traynor,Pittsburgh Pirates
Rebel,Oakes,Pittsburgh Rebels
George,Wright,Providence Grays
Mike,McGeary,Providence Grays
John,Ward,Providence Grays
Mike,Dorgan,Providence Grays
Jack,Farrell,Providence Grays
Tom,York,Providence Grays
Scott,Hastings,Rockford Forest Citys
Tommy,McCarthy,St. Louis Brown Stockings
John,Kerins,St. Louis Brown Stockings
Chief,Roseman,St. Louis Brown Stockings
Count,Campau,St. Louis Brown Stockings
Joe,Gerhardt,St. Louis Brown Stockings
Dickey,Pearce,St. Louis Brown Stockings
Ned,Cuthbert,St. Louis Brown Stockings
Charlie,Comiskey,St. Louis Brown Stockings
Charlie,Comiskey,St. Louis Browns
Tommy,McCarthy,St. Louis Browns
John,Kerins,St. Louis Browns
Chief,Roseman,St. Louis Browns
Count,Campau,St. Louis Browns
Joe,Gerhardt,St. Louis Browns
Ned,Cuthbert,St. Louis Browns
Patsy,Donovan,St. Louis Browns
Jack,Crooks,St. Louis Browns
Joe,Quinn,St. Louis Browns
George,Gore,St. Louis Browns
Jimmy,McAleer,St. Louis Browns
Bob,Caruthers,St. Louis Browns
Arlie,Latham,St. Louis Browns
Roger,Connor,St. Louis Browns
Patsy,Tebeau,St. Louis Browns
Tommy,Dowd,St. Louis Browns
Jack,Glasscock,St. Louis Browns
Bill,Hallman,St. Louis Browns
Cub,Stricker,St. Louis Browns
Bobby,Wallace,St. Louis Browns
Roger,Bresnahan,St. Louis Browns
Jack,O'Connor,St. Louis Browns
Jimmy,Burke,St. Louis Browns
Kid,Nichols,St. Louis Browns
Jimmy,Austin,St. Louis Browns
Bob,O'Farrell,St. Louis Browns
Miller,Huggins,St. Louis Browns
Branch,Rickey,St. Louis Browns
George,Sisler,St. Louis Browns
George,Stovall,St. Louis Browns
Rogers,Hornsby,St. Louis Browns
Marty,Marion,St. Louis Browns
Eddie,Stanky,St. Louis Browns
Luke,Sewell,St. Louis Browns
Frankie,Frisch,St. Louis Browns
Harry,Walker,St. Louis Browns
Solly,Hemus,St. Louis Browns
Billy,Southworth,St. Louis Browns
Jim,Bottomley,St. Louis Browns
Gabby,Street,St. Louis Browns
Patsy,Donovan,St. Louis Cardinals
Jack,Crooks,St. Louis Cardinals
Joe,Quinn,St. Louis Cardinals
George,Gore,St. Louis Cardinals
Bob,Caruthers,St. Louis Cardinals
Arlie,Latham,St. Louis Cardinals
Roger,Connor,St. Louis Cardinals
Patsy,Tebeau,St. Louis Cardinals
Tommy,Dowd,St. Louis Cardinals
Jack,Glasscock,St. Louis Cardinals
Bill,Hallman,St. Louis Cardinals
Cub,Stricker,St. Louis Cardinals
Roger,Bresnahan,St. Louis Cardinals
Jimmy,Burke,St. Louis Cardinals
Kid,Nichols,St. Louis Cardinals
Rogers,Hornsby,St. Louis Cardinals
Bob,O'Farrell,St. Louis Cardinals
Miller,Huggins,St. Louis Cardinals
Gabby,Street,St. Louis Cardinals
Eddie,Stanky,St. Louis Cardinals
Frankie,Frisch,St. Louis Cardinals
Harry,Walker,St. Louis Cardinals
Solly,Hemus,St. Louis Cardinals
Billy,Southworth,St. Louis Cardinals
Fred,Dunlap,St. Louis Maroons
Alex,McKinnon,St. Louis Maroons
Patsy,Donovan,St. Louis Perfectos
Jack,Crooks,St. Louis Perfectos
Joe,Quinn,St. Louis Perfectos
George,Gore,St. Louis Perfectos
Bob,Caruthers,St. Louis Perfectos
Arlie,Latham,St. Louis Perfectos
Roger,Connor,St. Louis Perfectos
Patsy,Tebeau,St. Louis Perfectos
Tommy,Dowd,St. Louis Perfectos
Jack,Glasscock,St. Louis Perfectos
Bill,Hallman,St. Louis Perfectos
Cub,Stricker,St. Louis Perfectos
Roger,Bresnahan,St. Louis Perfectos
Jimmy,Burke,St. Louis Perfectos
Kid,Nichols,St. Louis Perfectos
Rogers,Hornsby,St. Louis Perfectos
Bob,O'Farrell,St. Louis Perfectos
Miller,Huggins,St. Louis Perfectos
Eddie,Stanky,St. Louis Perfectos
Frankie,Frisch,St. Louis Perfectos
Harry,Walker,St. Louis Perfectos
Solly,Hemus,St. Louis Perfectos
Billy,Southworth,St. Louis Perfectos
Gabby,Street,St. Louis Perfectos
Charlie,Sweasy,St. Louis Red Stockings
Mordecai,Brown,St. Louis Terriers
Fielder,Jones,St. Louis Terriers
Mike,Dorgan,Syracuse Stars
Bill,Holbert,Syracuse Stars
Jimmy,Macullar,Syracuse Stars
Charlie,Morton,Toledo Blue Stockings
Lip,Pike,Troy Haymakers
Bill,Craver,Troy Haymakers
Jimmy,Wood,Troy Haymakers
Bob,Ferguson,Troy Trojans
John,Morrill,Washington Nationals
Arthur,Irwin,Washington Nationals
Holly,Hollingshead,Washington Nationals
Bill,Parks,Washington Nationals
Joe,Miller,Washington Nationals
Tom,Brown,Washington Nationals
Jack,Doyle,Washington Nationals
Deacon,McGuire,Washington Nationals
Danny,Richardson,Washington Nationals
Jim,O'Rourke,Washington Nationals
Jack,Doyle,Washington Senators
Deacon,McGuire,Washington Senators
Danny,Richardson,Washington Senators
Jim,O'Rourke,Washington Senators
Malachi,Kittridge,Washington Senators
Tom,Brown,Washington Senators
Jake,Stahl,Washington Senators
Patsy,Donovan,Washington Senators
Clyde,Milan,Washington Senators
Donie,Bush,Washington Senators
Bucky,Harris,Washington Senators
Clark,Griffith,Washington Senators
Joe,Cronin,Washington Senators
Pop,Snyder,Washington Statesmen
Dan,Shannon,Washington Statesmen
Sandy,Griffin,Washington Statesmen
Mike,Dorgan,Worcester Ruby Legs
Harry,Stovey,Worcester Ruby Legs
Tommy,Bond,Worcester Ruby Legs
